[2026-01-21 16:28:28,621: INFO: data_ingestion: Downloading dataset to data/raw]
[2026-01-21 16:28:30,739: INFO: data_ingestion: Dataset downloaded successfully]
[2026-01-21 16:28:30,757: INFO: data_ingestion: Data validation completed successfully]
[2026-01-21 16:28:30,759: INFO: data_preprocessing: Data segregated into features and target successfully]
[2026-01-21 16:28:30,760: INFO: data_preprocessing: Target Column Label Encoding successful]
[2026-01-21 16:28:30,761: INFO: data_preprocessing: Label Encoder saved as serialized file.]
[2026-01-21 16:28:30,767: INFO: data_preprocessing: Data transformation complete]
[2026-01-21 16:28:30,768: INFO: data_preprocessing: MinMax Scaler saved as serialized file]
[2026-01-21 16:28:30,776: INFO: data_preprocessing: Transformed data saved successfully]
[2026-01-21 16:28:30,779: INFO: data_preprocessing: Data split into train-test parititons successfully]
[2026-01-21 16:28:30,781: INFO: model_trainer: Logistic Regression Model training started]
[2026-01-21 16:28:30,805: INFO: model_trainer: Logistic Regression Model training complete]
[2026-01-21 16:28:30,807: INFO: model_trainer: Trained Model saved as serialized file]
[2026-01-21 16:28:49,830: INFO: data_ingestion: Downloading dataset to data/raw]
[2026-01-21 16:28:51,825: INFO: data_ingestion: Dataset downloaded successfully]
[2026-01-21 16:28:51,833: INFO: data_ingestion: Data validation completed successfully]
[2026-01-21 16:28:51,834: INFO: data_preprocessing: Data segregated into features and target successfully]
[2026-01-21 16:28:51,835: INFO: data_preprocessing: Target Column Label Encoding successful]
[2026-01-21 16:28:51,835: INFO: data_preprocessing: Label Encoder saved as serialized file.]
[2026-01-21 16:28:51,837: INFO: data_preprocessing: Data transformation complete]
[2026-01-21 16:28:51,838: INFO: data_preprocessing: MinMax Scaler saved as serialized file]
[2026-01-21 16:28:51,844: INFO: data_preprocessing: Transformed data saved successfully]
[2026-01-21 16:28:51,846: INFO: data_preprocessing: Data split into train-test parititons successfully]
[2026-01-21 16:28:51,847: INFO: model_trainer: Logistic Regression Model training started]
[2026-01-21 16:28:51,866: INFO: model_trainer: Logistic Regression Model training complete]
[2026-01-21 16:28:51,868: INFO: model_trainer: Trained Model saved as serialized file]
[2026-01-21 16:28:51,874: INFO: model_evaluator: Model evaluation complete]
[2026-01-21 16:28:52,035: INFO: model_evaluator: Confusion matrix plot saved to artifacts]
